:START_ID(strain_id),:END_ID(strain_city),:TYPE
Taiwan/3/2020,Taipei,FOUND_IN
Taiwan/4/2020,Taipei,FOUND_IN
Taiwan/CGMH-CGU-01/2020,Taoyuan,FOUND_IN
Taiwan/NTU01/2020,Taipei,FOUND_IN
Taiwan/NTU02/2020,Taipei,FOUND_IN
Taiwan/NTU03/2020,Taipei,FOUND_IN
Tianmen/HBCDC-HB-07/2020,Tianmen,FOUND_IN
USA/AZ1/2020,Phoenix,FOUND_IN
USA/CA-CDPH-UC5/2020,San Francisco,FOUND_IN
USA/CA-CDPH-UC6/2020,San Francisco,FOUND_IN
USA/CA-CDPH-UC7/2020,San Francisco,FOUND_IN
USA/CA-CDPH-UC8/2020,San Francisco,FOUND_IN
USA/CA-CDPH-UC9/2020,San Francisco,FOUND_IN
USA/CA1/2020,Los Angeles,FOUND_IN
USA/IL1/2020,Chicago,FOUND_IN
USA/MA1/2020,Boston,FOUND_IN
USA/UC-CDPH-UC11/2020,San Francisco,FOUND_IN
USA/WA-UW29/2020,Kirkland,FOUND_IN
USA/WA-UW34/2020,Kirkland,FOUND_IN
USA/WA-UW35/2020,Seattle,FOUND_IN
USA/WA-UW47/2020,Seattle,FOUND_IN
USA/WA-UW56/2020,Seattle,FOUND_IN
USA/WA-UW69/2020,Seattle,FOUND_IN
USA/WA-UW74/2020,Seattle,FOUND_IN
USA/WA-UW75/2020,Seattle,FOUND_IN
Vietnam/CM295/2020,Hanoi,FOUND_IN
Vietnam/CM296/2020,Hanoi,FOUND_IN
Wales/PHW10/2020,Cardiff,FOUND_IN
Wuhan-Hu-1/2019,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-01/2019,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-02/2019,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-02/2020,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-03/2019,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-03/2020,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-04/2019,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-04/2020,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-05/2020,Wuhan,FOUND_IN
Wuhan/HBCDC-HB-06/2020,Wuhan,FOUND_IN
Wuhan/IPBCAMS-WH-01/2019,Wuhan,FOUND_IN
Wuhan/IPBCAMS-WH-02/2019,Wuhan,FOUND_IN
Wuhan/IPBCAMS-WH-03/2019,Wuhan,FOUND_IN
Wuhan/IPBCAMS-WH-04/2019,Wuhan,FOUND_IN
Wuhan/IPBCAMS-WH-05/2020,Wuhan,FOUND_IN
